PRODUCT;QUANTITY
P_1;378
P_2;532
P_3;546
P_4;220
P_6;462
P_7;567
P_8;560
P_9;369
P_10;476
P_11;444
P_12;525
P_13;462
P_15;476
P_16;476
P_19;462
P_20;262
P_21;448
P_22;462
P_23;321
P_24;497
P_25;581
P_26;311
P_27;165
P_28;180
P_29;329
P_30;505
